word,hint
languidly,moving slowly with little energy or enthusiasm
shabby,worn out or in poor condition; showing signs of neglect
wheedle,to persuade someone through flattery or gentle urging
gloat,to show smug satisfaction about one's success or another's failure
ineptitude,lack of skill or ability; clumsiness
cryptic,mysterious or difficult to understand; having a hidden meaning
ebb,to gradually decrease or fade away; to recede like a tide
sulky,silently moody or bad-tempered; showing resentment
ravenous,extremely hungry; having a huge appetite
drawl,to speak slowly with prolonged vowel sounds
